"Age","Gender","Signed_In","Ctr"
5,1,1,0.116666666666667
6,0,1,0.0260416666666667
6,1,1,0.0405797101449275
7,0,1,0.0477922077922078
7,1,1,0.0319651296715517
8,0,1,0.0285813492063492
8,1,1,0.0305473213955357
9,0,1,0.0268101493470952
9,1,1,0.0340270422078818
10,0,1,0.0324613510709016
10,1,1,0.0307357575907324
11,0,1,0.0283235896253648
11,1,1,0.0302667427268516
12,0,1,0.0305768629930403
12,1,1,0.0291383605391526
13,0,1,0.0315272582533292
13,1,1,0.0301924318335246
14,0,1,0.0299397274195859
14,1,1,0.029179875555343
15,0,1,0.030417311772088
15,1,1,0.0297243140441517
16,0,1,0.0291675644508775
16,1,1,0.0296752640474537
17,0,1,0.0303998335785696
17,1,1,0.0298855008927328
18,0,1,0.0179280481054181
18,1,1,0.0181455958766749
19,0,1,0.00994572206176153
19,1,1,0.0102022284721047
20,0,1,0.00998367857230002
20,1,1,0.00989910372206574
21,0,1,0.0102626362325475
21,1,1,0.0100005420250687
22,0,1,0.00966360594257342
22,1,1,0.00988273186996419
23,0,1,0.0099857530825691
23,1,1,0.00993032313554738
24,0,1,0.0102551178669342
24,1,1,0.00989925368670916
25,0,1,0.00987565083808659
25,1,1,0.00997372101123398
26,0,1,0.00989900109398086
26,1,1,0.00996499932895384
27,0,1,0.0101187429443248
27,1,1,0.0100669075512986
28,0,1,0.0101223492218441
28,1,1,0.0102720139639104
29,0,1,0.00994616037516925
29,1,1,0.0101548859441494
30,0,1,0.0101237940703429
30,1,1,0.0098131775582652
31,0,1,0.0102416609977118
31,1,1,0.0103002236437844
32,0,1,0.00996730365840656
32,1,1,0.0100615533280651
33,0,1,0.00994929230789503
33,1,1,0.00987952501217344
34,0,1,0.0102486449274623
34,1,1,0.00969220404706859
35,0,1,0.00987195461225611
35,1,1,0.0101018684457059
36,0,1,0.0099558458595373
36,1,1,0.00963363551391723
37,0,1,0.00986937313514111
37,1,1,0.0102802627451674
38,0,1,0.0100121669882773
38,1,1,0.00994671570589681
39,0,1,0.0100502570685522
39,1,1,0.010038679852718
40,0,1,0.010154847231786
40,1,1,0.0100390827055403
41,0,1,0.0100946367639312
41,1,1,0.00970858539528021
42,0,1,0.0100955110300473
42,1,1,0.0101105916580248
43,0,1,0.0098945257513906
43,1,1,0.0101700008604134
44,0,1,0.0105146771726087
44,1,1,0.00952403656949116
45,0,1,0.010062474744559
45,1,1,0.00991732859812797
46,0,1,0.0101129356168389
46,1,1,0.0100222784166
47,0,1,0.0101382896141435
47,1,1,0.00994363415391058
48,0,1,0.00997938275869509
48,1,1,0.00984423943966411
49,0,1,0.0101349287059397
49,1,1,0.00999839245572733
50,0,1,0.0103645871495137
50,1,1,0.0100920438407405
51,0,1,0.0101123298372807
51,1,1,0.009796825220775
52,0,1,0.0102399209458818
52,1,1,0.00991429200223848
53,0,1,0.0101284065522913
53,1,1,0.0101491017136956
54,0,1,0.010048910364548
54,1,1,0.010018957593889
55,0,1,0.0196842431146032
55,1,1,0.0195910231185171
56,0,1,0.0195175270268149
56,1,1,0.0197685028356711
57,0,1,0.0199883591031844
57,1,1,0.0199891656127733
58,0,1,0.0199902866513196
58,1,1,0.0202918361577085
59,0,1,0.0198052467542707
59,1,1,0.02040013608308
60,0,1,0.0202518625169673
60,1,1,0.0196726616598646
61,0,1,0.0206378415162314
61,1,1,0.0195412189367874
62,0,1,0.0205272320858565
62,1,1,0.0201135406813524
63,0,1,0.0201451516911367
63,1,1,0.020088776682691
64,0,1,0.0204052474370698
64,1,1,0.0206510641417474
65,0,1,0.0290249504528199
65,1,1,0.0304407818362343
66,0,1,0.0302622409993934
66,1,1,0.0299040013542833
67,0,1,0.0297860573382254
67,1,1,0.0302383468638398
68,0,1,0.0296497582474944
68,1,1,0.0303687598526887
69,0,1,0.0297735061057418
69,1,1,0.0291158865809369
70,0,1,0.0306425856694354
70,1,1,0.0300941797780616
71,0,1,0.0293743321371521
71,1,1,0.0302232588197454
72,0,1,0.0305264825304674
72,1,1,0.0296925559966112
73,0,1,0.0298688001466058
73,1,1,0.0311861005085319
74,0,1,0.0298137441572873
74,1,1,0.0310998763540462
75,0,1,0.029785030077659
75,1,1,0.0314512177804566
76,0,1,0.0302364010083865
76,1,1,0.0295410863815299
77,0,1,0.0297110820747051
77,1,1,0.0305973237412189
78,0,1,0.0299391487994119
78,1,1,0.0295969910811983
79,0,1,0.030879553546776
79,1,1,0.0301664337998969
80,0,1,0.0301450714906773
80,1,1,0.0297206119467816
81,0,1,0.029608133633225
81,1,1,0.0321824541287468
82,0,1,0.0296907891682794
82,1,1,0.0294371917898302
83,0,1,0.0277005550978152
83,1,1,0.0300368959506537
84,0,1,0.0284236543212803
84,1,1,0.0271106453186041
85,0,1,0.0296435632761723
85,1,1,0.0305757631736398
86,0,1,0.0300851843930786
86,1,1,0.0302903558596159
87,0,1,0.0288989777446243
87,1,1,0.029625758676971
88,0,1,0.0284272640475648
88,1,1,0.0344782753186623
89,0,1,0.0268643187330931
89,1,1,0.0261089937904926
90,0,1,0.0299614912684327
90,1,1,0.0287234170229094
91,0,1,0.029558662622612
91,1,1,0.0283255264700577
92,0,1,0.0304266831052545
92,1,1,0.0342145704269318
93,0,1,0.0320048399633175
93,1,1,0.0289116451504844
94,0,1,0.03382800294565
94,1,1,0.0328784925276153
95,0,1,0.0267641583592504
95,1,1,0.0239704184704185
96,0,1,0.0278353057199211
96,1,1,0.0239836860670194
97,0,1,0.0284917143788112
97,1,1,0.0308956916099773
98,0,1,0.032950163458638
98,1,1,0.0268799018799019
99,0,1,0.0339665843798075
99,1,1,0.0292052469135802
100,0,1,0.0182638888888889
100,1,1,0.0213369963369963
101,0,1,0.0338730713730714
101,1,1,0.0376322751322751
102,0,1,0.0368131868131868
102,1,1,0.0189153439153439
103,0,1,0.0273809523809524
103,1,1,0.0734864882592155
104,0,1,0.00833333333333333
104,1,1,0.0495798319327731
105,0,1,0.0448717948717949
105,1,1,0.0681818181818182
106,0,1,0.0778900112233445
107,0,1,0.0625
107,1,1,0.0666666666666667
10,0,1,0.0309895833333333
10,1,1,0.0411755952380952
100,1,1,0.111111111111111
104,1,1,0.166666666666667
107,1,1,0.1
11,0,1,0.0249449176868532
11,1,1,0.0240288220551378
12,0,1,0.0319613942729521
12,1,1,0.0340023872345772
13,0,1,0.0313470066518847
13,1,1,0.0330153164863909
14,0,1,0.0267872117400419
14,1,1,0.0275213181357249
15,0,1,0.0362985472416077
15,1,1,0.0289723743305406
16,0,1,0.031815146824707
16,1,1,0.0295072578616883
17,0,1,0.0311102019502666
17,1,1,0.0295263705878232
18,0,1,0.0170725574403507
18,1,1,0.0175197994347311
19,0,1,0.00899702366112793
19,1,1,0.00998056203269337
20,0,1,0.00988242410494877
20,1,1,0.00882082648192433
21,0,1,0.010065967863206
21,1,1,0.00947795324093158
22,0,1,0.00937878724599046
22,1,1,0.00979940981425542
23,0,1,0.0109776093471746
23,1,1,0.0101367043490629
24,0,1,0.00941341242379305
24,1,1,0.00948122548596763
25,0,1,0.00804279146471837
25,1,1,0.00837950687574747
26,0,1,0.00972337686268034
26,1,1,0.0100503611369941
27,0,1,0.00910588149224512
27,1,1,0.0107932090585152
28,0,1,0.00973993051849472
28,1,1,0.0102337761232279
29,0,1,0.0101460884159133
29,1,1,0.00887693367904449
30,0,1,0.0112115907659174
30,1,1,0.0109739920203042
31,0,1,0.0101766232710526
31,1,1,0.0111808255172497
32,0,1,0.0113335513731946
32,1,1,0.010639446819571
33,0,1,0.0102037316550206
33,1,1,0.00919231436015888
34,0,1,0.011963105481624
34,1,1,0.00970313310738842
35,0,1,0.00874567858027728
35,1,1,0.0103660429941861
36,0,1,0.0101785171803969
36,1,1,0.00944125569215693
37,0,1,0.0119560356024893
37,1,1,0.0102398425685452
38,0,1,0.0103713188220231
38,1,1,0.0112238317106832
39,0,1,0.00887207558256548
39,1,1,0.0101219404790833
40,0,1,0.00987990128615128
40,1,1,0.00937184295009424
41,0,1,0.010068247578435
41,1,1,0.0107674087196067
42,0,1,0.0107120855441651
42,1,1,0.0110331033686059
43,0,1,0.0090664257330924
43,1,1,0.0114096940333711
44,0,1,0.0131458582836217
44,1,1,0.00843434343434343
45,0,1,0.0100015342985466
45,1,1,0.0115728059897763
46,0,1,0.0124007259627194
46,1,1,0.00762355463142864
47,0,1,0.00985695617062909
47,1,1,0.00956184744063532
48,0,1,0.0109946384441634
48,1,1,0.0095793592744021
49,0,1,0.00952139618400276
49,1,1,0.00926871508617753
50,0,1,0.0101097921686157
50,1,1,0.0106063489977255
51,0,1,0.00894152903733195
51,1,1,0.00998036851279173
52,0,1,0.0107266310647458
52,1,1,0.0105342058745624
53,0,1,0.00948672051262878
53,1,1,0.0104177566393698
54,0,1,0.00919069533582699
54,1,1,0.00890087755980902
55,0,1,0.0181924284865461
55,1,1,0.0201780413845551
56,0,1,0.0194248321033263
56,1,1,0.0213797699042688
57,0,1,0.0202477217431704
57,1,1,0.0212093264769163
58,0,1,0.0222613609529283
58,1,1,0.0169611349833162
59,0,1,0.0189492208885878
59,1,1,0.0197407506130425
60,0,1,0.0211160084860258
60,1,1,0.0190787865610979
61,0,1,0.0198724170211595
61,1,1,0.0196241663775347
62,0,1,0.0208689986015319
62,1,1,0.0210557888621243
63,0,1,0.0186805759740355
63,1,1,0.0219377764113592
64,0,1,0.0257701515335103
64,1,1,0.0223187369020702
65,0,1,0.0248531140576595
65,1,1,0.0281156974338792
66,0,1,0.0345225344735149
66,1,1,0.0296339822413442
67,0,1,0.0309381315640009
67,1,1,0.0291092171717172
68,0,1,0.0292600023369254
68,1,1,0.0324093900258775
69,0,1,0.0285856107002352
69,1,1,0.0269148806324795
7,0,1,0.202380952380952
70,0,1,0.0314612550787666
70,1,1,0.0308047097796052
71,0,1,0.0306059789883319
71,1,1,0.0313076622984457
72,0,1,0.0247667873314425
72,1,1,0.0275891935721657
73,0,1,0.0326493856108181
73,1,1,0.0312915479582146
74,0,1,0.0328001232799994
74,1,1,0.0346383806543169
75,0,1,0.0301501534035423
75,1,1,0.0281213800444569
76,0,1,0.0313604036069618
76,1,1,0.0290244416350611
77,0,1,0.0293006174153715
77,1,1,0.0249895610155044
78,0,1,0.0268277605756165
78,1,1,0.0213844337769839
79,0,1,0.036233063301078
79,1,1,0.0330533223390366
8,1,1,0.0596590909090909
80,0,1,0.0309608647002715
80,1,1,0.0329809286898839
81,0,1,0.0291493121156334
81,1,1,0.0264532859927597
82,0,1,0.0252608026893741
82,1,1,0.0392742086972856
83,0,1,0.0263067777993151
83,1,1,0.0337441470094531
84,0,1,0.0335276967930029
84,1,1,0.0239715608465608
85,0,1,0.0117374138207472
85,1,1,0.0313700918964077
86,0,1,0.0251579992777176
86,1,1,0.0283333333333333
87,0,1,0.0209940910670838
87,1,1,0.0221461187214612
88,0,1,0.0160920428777572
88,1,1,0.0332156147945622
89,0,1,0.0119246031746032
89,1,1,0.0306051587301587
9,0,1,0.0214285714285714
9,1,1,0.0124007936507937
90,0,1,0.0427936507936508
90,1,1,0.0415608465608466
91,0,1,0.0212765957446809
91,1,1,0.0208333333333333
92,0,1,0.0138888888888889
92,1,1,0.0402236652236652
93,0,1,0.0412257495590829
94,0,1,0.032051282051282
94,1,1,0.0709454796411318
95,0,1,0.0273268398268398
95,1,1,0.0277777777777778
96,0,1,0.00588235294117647
97,0,1,0.0277777777777778
97,1,1,0.0357142857142857
98,0,1,0.0529100529100529
99,0,1,0.0333333333333333